# l                Dl               -dDl             +dDl             BestFit          
  1.33461223e+03   7.37290337e+02   5.71800485e+00   5.71800485e+00   7.31898515e+02
  1.36460976e+03   7.74925851e+02   5.94089388e+00   5.94089388e+00   7.67047643e+02
  1.39460740e+03   8.06625346e+02   6.17243469e+00   6.17243469e+00   8.03588527e+02
  1.42460514e+03   8.09057064e+02   6.25632882e+00   6.25632882e+00   8.16784389e+02
  1.45460297e+03   7.77751089e+02   6.11143430e+00   6.11143430e+00   7.92658706e+02
  1.48460089e+03   7.28943580e+02   5.74544667e+00   5.74544667e+00   7.31230681e+02
  1.51459890e+03   6.48288645e+02   5.24258624e+00   5.24258624e+00   6.44972815e+02
  1.54459698e+03   5.51286111e+02   4.72393254e+00   4.72393254e+00   5.52838213e+02
  1.57459513e+03   4.76600995e+02   4.30079600e+00   4.30079600e+00   4.73410287e+02
  1.60459335e+03   4.19541270e+02   4.04442416e+00   4.04442416e+00   4.18888542e+02
  1.63459164e+03   3.95211496e+02   3.96833591e+00   3.96833591e+00   3.92152600e+02
  1.66458999e+03   3.91657847e+02   4.03423921e+00   4.03423921e+00   3.87313797e+02
  1.69458839e+03   3.92947519e+02   4.17356282e+00   4.17356282e+00   3.93097715e+02
  1.72458686e+03   3.97735803e+02   4.31665510e+00   4.31665510e+00   3.97391812e+02
  1.75458537e+03   3.83011743e+02   4.41586492e+00   4.41586492e+00   3.91427360e+02
  1.78458394e+03   3.75391143e+02   4.45733427e+00   4.45733427e+00   3.71983403e+02
  1.81458255e+03   3.40139516e+02   4.45892926e+00   4.45892926e+00   3.41585903e+02
  1.84458121e+03   3.07539268e+02   4.45749277e+00   4.45749277e+00   3.06532670e+02
  1.87457991e+03   2.73859536e+02   4.49350451e+00   4.49350451e+00   2.74153525e+02
  1.90457865e+03   2.49846901e+02   4.59652807e+00   4.59652807e+00   2.50006349e+02
  1.93457743e+03   2.44246300e+02   4.77758093e+00   4.77758093e+00   2.36236579e+02
  1.96457625e+03   2.31913142e+02   5.02866666e+00   5.02866666e+00   2.31349665e+02
  1.99457510e+03   2.34658998e+02   5.42839879e+00   5.42839879e+00   2.31209089e+02
  2.02457399e+03   2.31744942e+02   5.86880339e+00   5.86880339e+00   2.30818750e+02
  2.05457291e+03   2.19660112e+02   6.20024969e+00   6.20024969e+00   2.26094532e+02
  2.08457186e+03   2.14252650e+02   6.53323083e+00   6.53323083e+00   2.15102553e+02
  2.11457084e+03   1.96716713e+02   6.87393629e+00   6.87393629e+00   1.98340298e+02
  2.14456985e+03   1.76431323e+02   7.23789713e+00   7.23789713e+00   1.78237039e+02
  2.17456889e+03   1.52227062e+02   7.64417922e+00   7.64417922e+00   1.58049842e+02
  2.20456795e+03   1.38671109e+02   8.10965997e+00   8.10965997e+00   1.40733305e+02
  2.23456704e+03   1.21459219e+02   8.64541703e+00   8.64541703e+00   1.28004092e+02
  2.26456615e+03   1.16155153e+02   9.25556670e+00   9.25556670e+00   1.20051892e+02
  2.29456529e+03   1.17768892e+02   9.93861339e+00   9.93861339e+00   1.15705770e+02
  2.32456444e+03   1.16129438e+02   1.06905048e+01   1.06905048e+01   1.13100669e+02
  2.35456362e+03   1.09714703e+02   1.15085752e+01   1.15085752e+01   1.10345705e+02
  2.38456282e+03   1.20361413e+02   1.23926722e+01   1.23926722e+01   1.06139560e+02
  2.41456204e+03   9.04515698e+01   1.33433129e+01   1.33433129e+01   1.00105444e+02
  2.44456128e+03   1.03080972e+02   1.43819739e+01   1.43819739e+01   9.26666904e+01
  2.47456054e+03   7.36743738e+01   1.55113561e+01   1.55113561e+01   8.48106882e+01
  2.49902400e+03   6.13290585e+01   2.09398269e+01   2.09398269e+01   7.87736295e+01
