# l                Dl               -dDl             +dDl             BestFit          
  1.72458686e+03  -2.78324103e+01   4.05344031e+00   4.05344031e+00  -2.68298996e+01
  1.75458537e+03  -1.33227916e+01   4.29444107e+00   4.29444107e+00  -2.04470385e+01
  1.78458394e+03  -1.58497558e+01   4.52722609e+00   4.52722609e+00  -1.31492198e+01
  1.81458255e+03  -3.15307514e+00   4.75681291e+00   4.75681291e+00  -7.44806710e+00
  1.84458121e+03  -4.34825165e+00   4.99746748e+00   4.99746748e+00  -4.92346538e+00
  1.87457991e+03   3.93331639e-01   5.26855879e+00   5.26855879e+00  -5.83979430e+00
  1.90457865e+03  -8.06061851e+00   5.58810627e+00   5.58810627e+00  -9.24270703e+00
  1.93457743e+03  -9.14853494e+00   5.96687920e+00   5.96687920e+00  -1.34680117e+01
  1.96457625e+03  -2.06383392e+01   6.40554363e+00   6.40554363e+00  -1.67937174e+01
  1.98802414e+03  -2.77939576e+01   9.12064389e+00   9.12064389e+00  -1.80434403e+01
